patch_id,neighbor_id,attention_weight
271,293,0.2595505
272,250,0.21052468
272,271,0.3910846
272,273,0.18881562
272,294,0.20957507
273,251,0.22104762
273,272,0.40235427
273,274,0.21140774
273,295,0.16519041
274,252,0.2774059
274,273,0.21591
274,275,0.35036048
274,296,0.15632366
275,253,0.25672355
275,274,0.20851016
275,276,0.34844145
275,297,0.18632479
276,254,0.24133869
276,275,0.24962421
276,277,0.23934878
276,298,0.26968837
277,255,0.21903782
277,276,0.20544307
277,278,0.33243048
277,299,0.2430886
278,256,0.304178
278,277,0.17708829
278,279,0.20834942
278,300,0.3103843
279,257,0.21206045
279,278,0.3226067
279,280,0.14859827
279,301,0.31673455
280,258,0.12104082
280,279,0.18185362
280,281,0.37807053
280,302,0.3190351
281,259,0.19862731
281,280,0.09745213
281,282,0.38336283
281,303,0.32055768
282,260,0.22771664
282,281,0.20512831
282,283,0.29742685
282,304,0.26972824
283,261,0.3097092
283,282,0.22223315
283,284,0.24398126
283,305,0.22407642
284,262,0.33865649
284,283,0.25017777
284,285,0.20504753
284,306,0.20611829
285,263,0.23861031
285,284,0.40800908
285,307,0.3533806
286,264,0.17817718
286,287,0.15524165
286,308,0.66658115
287,265,0.23790234
287,286,0.23220238
287,288,0.2615721
287,309,0.26832318
288,266,0.23945673
288,287,0.14701818
288,289,0.43184814
288,310,0.18167695
289,267,0.4024581
289,288,0.11276777
289,290,0.3637734
289,311,0.121000715
290,268,0.27599692
290,289,0.24951307
290,291,0.2942279
290,312,0.18026216
291,269,0.22698535
291,290,0.3416101
291,292,0.20071672
291,313,0.23068781
292,270,0.28638497
292,291,0.2611775
292,293,0.2547648
292,314,0.19767267
293,271,0.38739124
293,292,0.28002238
293,294,0.21137348
293,315,0.12121291
294,272,0.3711327
294,293,0.402185
294,295,0.15415816
294,316,0.07252411
295,273,0.30466342
295,294,0.34608716
295,296,0.21952915
295,317,0.12972033
296,274,0.33326045
296,295,0.2592431
296,297,0.29206762
296,318,0.1154289
297,275,0.3616435
297,296,0.16098702
297,298,0.38934883
297,319,0.088020675
298,276,0.3082673
298,297,0.16518599
298,299,0.362379
298,320,0.16416769
299,277,0.18821292
299,298,0.20937319
299,300,0.32475826
299,321,0.2776557
300,278,0.25872505
300,299,0.1876338
300,301,0.25516418
300,322,0.298477
301,279,0.15073846
301,300,0.22194496
301,302,0.26939216
301,323,0.3579244
302,280,0.09736051
302,301,0.21115421
302,303,0.32422
302,324,0.3672653
303,281,0.23451039
303,302,0.19838293
303,304,0.3040832
303,325,0.2630235
304,282,0.2667134
304,303,0.2229161
304,305,0.26227447
304,326,0.24809603
305,283,0.27851763
305,304,0.2497148
305,306,0.2263943
305,327,0.2453733
306,284,0.27931285
306,305,0.25712502
306,307,0.24438591
306,328,0.21917625
307,285,0.3474217
307,306,0.3556111
307,329,0.29696715
308,286,0.112489276
308,309,0.13628508
308,330,0.75122565
309,287,0.060865615
309,308,0.25665027
309,310,0.07681236
309,331,0.6056717
310,288,0.14475526
310,309,0.14998825
310,311,0.15399063
310,332,0.55126584
311,289,0.38837147
311,310,0.15568376
311,312,0.2666914
311,333,0.18925339
312,290,0.43728265
312,311,0.13839383
312,313,0.28567132
312,334,0.13865218
313,291,0.3707043
313,312,0.21617086
313,314,0.27080995
313,335,0.14231487
314,292,0.26655275
314,313,0.28737414
314,315,0.109460376
314,336,0.3366127
315,293,0.38293362
315,314,0.2841213
315,316,0.064806305
315,337,0.2681388
316,294,0.38415107
316,315,0.2109883
316,317,0.1374635
316,338,0.26739714
317,295,0.39964396
317,316,0.18748848
317,318,0.17435353
317,339,0.23851405
318,296,0.3863771
318,317,0.22307749
318,319,0.20412149
318,340,0.18642391
319,297,0.3502487
319,318,0.13906056
319,320,0.35146406
319,341,0.15922667
320,298,0.3081255
320,319,0.07004599
320,321,0.41055453
320,342,0.21127397
321,299,0.24191368
321,320,0.11016991
321,322,0.39130142
321,343,0.256615
322,300,0.21657906
322,321,0.18867214
322,323,0.35787848
322,344,0.23687029
323,301,0.18501328
323,322,0.21987383
323,324,0.3314884
323,345,0.26362452
324,302,0.20230734
324,323,0.26644224
324,325,0.26088992
324,346,0.27036047
325,303,0.2509388
325,324,0.28144136
325,326,0.2744569
325,347,0.19316295
326,304,0.2677958
326,325,0.23053104
326,327,0.2622249
326,348,0.23944826
327,305,0.27547494
327,326,0.25983867
327,328,0.23891263
327,349,0.2257737
328,306,0.26038146
328,327,0.2860861
328,329,0.22834624
328,350,0.2251862
329,307,0.4009337
329,328,0.36348158
329,351,0.2355847
330,308,0.30118042
330,331,0.69881964
331,309,0.09434129
