patch_id,learned_neighbor_id,weight
220,276,0.0030725792
221,322,0.0030767105
221,274,0.0030499646
221,292,0.003046534
222,66,0.003114846
222,98,0.0030853206
222,206,0.0030455943
223,192,0.0029943613
223,120,0.0029708704
223,276,0.0029662375
224,133,0.0029817
224,69,0.0029594055
224,300,0.0029503573
225,189,0.0030338403
225,184,0.0030271744
225,150,0.003023362
226,54,0.0030823501
226,107,0.003078218
226,52,0.003066089
227,291,0.003039565
227,42,0.0030265485
227,229,0.0030107251
228,301,0.0030454684
228,298,0.0030256524
228,341,0.0030190984
229,303,0.0031197066
229,145,0.003099004
229,13,0.003089493
230,227,0.0030297216
230,112,0.0030280077
230,287,0.003015288
231,339,0.003367142
231,59,0.0030987386
231,274,0.0030795727
232,336,0.0030803015
232,291,0.0030710578
232,25,0.0030345516
233,163,0.002986729
233,176,0.0029759733
233,287,0.00295437
234,331,0.0029741314
234,183,0.002972345
234,246,0.0029720368
235,135,0.003025172
235,249,0.002980252
235,282,0.0029779002
236,339,0.0031480032
236,318,0.0031343165
236,312,0.0030838875
237,287,0.0031868902
237,32,0.0030823972
237,152,0.003081693
238,184,0.0030445796
238,185,0.0030060683
238,224,0.0029972775
239,81,0.0030502826
239,231,0.003017446
239,303,0.002980388
240,291,0.003057986
240,44,0.0030411188
240,226,0.0030364485
241,235,0.0031411955
241,277,0.0031245416
241,206,0.0031209744
242,290,0.0030474353
242,19,0.0030165187
242,331,0.003014239
243,270,0.0030704245
243,235,0.0030344687
243,206,0.0030301877
244,315,0.0030447156
244,184,0.0030005288
244,98,0.003000197
245,267,0.0031555262
245,32,0.0031301575
245,310,0.0031107552
246,5,0.0029512672
246,89,0.0029481556
246,226,0.0029404785
247,223,0.0031365745
247,271,0.003128173
247,263,0.0031242664
248,183,0.0029824409
248,243,0.002967181
248,348,0.0029624964
249,339,0.0032463917
249,303,0.003165476
249,274,0.0031504645
250,266,0.0032055993
250,237,0.0031484365
250,345,0.0031055969
251,94,0.0029879257
251,119,0.0029762082
251,186,0.0029711188
252,52,0.0030714108
252,301,0.0030675721
252,220,0.003022757
253,301,0.0030480972
253,315,0.0030385815
253,220,0.003036461
254,134,0.0030513348
254,184,0.0030342187
254,156,0.0030056469
255,44,0.0031707895
255,249,0.0031404903
255,96,0.0031298443
256,212,0.003011939
256,59,0.002971676
256,206,0.002971235
257,218,0.0030287395
257,329,0.0030275004
257,53,0.0030182977
258,347,0.0030823855
258,44,0.0030721205
258,180,0.0030665991
259,176,0.00299311
259,163,0.0029839233
259,349,0.0029821931
260,231,0.0031074216
260,198,0.0030686895
260,312,0.0030438441
261,159,0.0031117795
261,204,0.0030580123
261,44,0.0030544538
262,212,0.0029729402
262,54,0.0029545447
262,107,0.0029429183
263,81,0.0030648604
263,319,0.0030329854
263,279,0.0029986596
264,70,0.0030381542
264,68,0.003037706
264,337,0.0030233632
265,303,0.0031768053
265,321,0.003095159
265,324,0.0030748365
266,66,0.003152631
266,253,0.003125447
266,53,0.0031028134
267,54,0.0031294962
267,287,0.0031265514
267,182,0.0031246978
268,267,0.0031877388
268,160,0.0031542163
268,90,0.0031459425
269,44,0.003014031
269,94,0.0029653371
269,220,0.0029446718
270,32,0.0030418064
270,198,0.0030221709
270,83,0.002989766
271,342,0.003135464
271,339,0.0031134773
271,318,0.0030838924
272,298,0.003085454
272,277,0.003065859
272,301,0.0030566957
273,34,0.0030132362
273,133,0.0029828823
273,31,0.0029766383
274,312,0.0030698222
274,231,0.0030413698
274,233,0.0030367859
275,81,0.0030266899
275,330,0.0030160896
275,98,0.0030067964
276,206,0.0031064698
276,324,0.0031061983
276,212,0.0030698215
277,152,0.0031510904
277,67,0.0031489993
277,181,0.0031185907
278,246,0.003099809
278,310,0.0030638159
278,53,0.0030596328
279,337,0.0031052986
279,292,0.0030747245
279,339,0.0030656115
280,267,0.003175371
280,315,0.0030871367
280,160,0.0030564903
281,212,0.0031365952
281,233,0.0031261968
281,53,0.0030844489
282,150,0.0030535308
282,25,0.003024367
282,251,0.0030020007
283,303,0.0033226789
283,54,0.0031433415
