patch_id,kendall_tau,p_value
48,0.723399407609934,4.7932691570671225e-35
49,-0.33629528366370476,9.362339941908625e-09
50,-0.6646160856687173,7.61983745020149e-30
51,-0.5190248348143086,7.872421715840689e-19
52,-0.47391205285942134,5.890632933838642e-16
53,-0.3349282296650718,1.0743500018328572e-08
54,-0.0708589655958077,0.22633893991727005
55,-0.1474139895192527,0.011837852971394279
56,0.6796536796536797,3.914992198644799e-31
57,0.3855092276144908,4.636272146280287e-11
58,-0.20141262246525407,0.0005840567303889784
59,-0.41740715424925956,1.0273268410595888e-12
60,-0.29049897470950103,7.050426698652227e-07
61,0.14331282752335386,0.01440835108969025
62,0.6807928913192072,3.1182068891710155e-31
63,0.63568010936432,1.9176368105525896e-27
64,0.5566188197767146,2.025807153554185e-21
65,0.30622009569377995,1.7099129394002512e-07
66,0.5670995670995672,3.5737208663558117e-22
67,-0.3531556163135111,1.6419645632084e-09
68,-0.5165185691501482,1.154656221125296e-18
69,-0.34837092731829583,2.7131731986767615e-09
70,-0.6869446343130554,9.06620306814834e-32
71,-0.030758714969241287,0.5994627686955264
72,-0.33128275233538396,1.546617816865865e-08
73,0.03804966962861701,0.5159126788747084
74,0.1417179311916154,0.015533869026365225
75,-0.5408976987924357,2.576387749750546e-20
76,-0.2843472317156528,1.2042635858477912e-06
77,-0.3110047846889953,1.0957415542037964e-07
78,0.004329004329004329,0.9410793966234028
79,0.0015948963317384372,0.9782753270834379
80,0.12827523353839146,0.028512134689039865
81,-0.12759170653907498,0.029369101040774042
82,-0.06561859193438141,0.2625563068883484
83,0.2617908407382092,7.828993161272886e-06
84,-0.4208247892458419,6.713447258688147e-13
85,-0.44793802688539536,2.0400485753158816e-14
86,-0.46776030986557304,1.3879747833832444e-15
87,-0.46776030986557304,1.3879747833832444e-15
88,0.26703121439963545,5.132887632038132e-06
89,0.4066985645933015,3.812659795803827e-12
90,-0.11756664388243336,0.04471466321763743
91,0.24242424242424246,3.486054146425369e-05
92,0.6359079516974254,1.8376934372464827e-27
93,-0.3071314650262019,1.5717309342595118e-07
94,-0.2747778537252222,2.7114620473503513e-06
95,-0.3189792663476875,5.1445432671148806e-08
96,-0.22282980177717024,0.00014204022001109386
97,-0.18819776714513559,0.0013122729817294399
98,-0.28639781271360226,1.0086346372463046e-06
99,-0.1779448621553885,0.0023797665341453197
100,0.045796308954203696,0.4342588894704309
101,0.09204830257461838,0.1160364926588475
102,-0.38323080428343587,6.018822297888583e-11
103,-0.1852358168147642,0.0015630799125193645
104,-0.17931191615402145,0.002201828446478714
