patch_id,neighbor_id,attention_weight
229,228,0.0
229,230,0.2631579
229,251,0.31578946
230,208,0.36842105
230,229,0.21052632
230,231,0.31578946
230,252,0.10526316
231,209,0.36842105
231,230,0.15789473
231,232,0.31578946
231,253,0.15789473
232,210,0.31578946
232,231,0.21052632
232,233,0.2631579
232,254,0.21052632
233,211,0.36842105
233,232,0.10526316
233,234,0.31578946
233,255,0.21052632
234,212,0.42105263
234,233,0.21052632
234,235,0.2631579
234,256,0.10526316
235,213,0.31578946
235,234,0.15789473
235,236,0.42105263
235,257,0.10526316
236,214,0.2631579
236,235,0.2631579
236,237,0.2631579
236,258,0.21052632
237,215,0.31578946
237,236,0.2631579
237,238,0.31578946
237,259,0.10526316
238,216,0.2631579
238,237,0.10526316
238,239,0.36842105
238,260,0.2631579
239,217,0.21052632
239,238,0.21052632
239,240,0.2631579
239,261,0.31578946
240,218,0.31578946
240,239,0.21052632
240,241,0.15789473
240,262,0.31578946
241,219,0.5263158
241,240,0.15789473
241,263,0.31578946
242,220,0.42105263
242,243,0.15789473
242,264,0.42105263
243,221,0.47368422
243,242,0.10526316
243,244,0.15789473
243,265,0.2631579
244,222,0.36842105
244,243,0.15789473
244,245,0.2631579
244,266,0.21052632
245,223,0.36842105
245,244,0.2631579
245,246,0.21052632
245,267,0.15789473
246,224,0.31578946
246,245,0.21052632
246,247,0.05263158
246,268,0.42105263
247,225,0.36842105
247,246,0.31578946
247,248,0.10526316
247,269,0.21052632
248,226,0.47368422
248,247,0.21052632
248,249,0.10526316
248,270,0.21052632
249,227,0.47368422
249,248,0.31578946
249,250,0.05263158
249,271,0.15789473
250,228,0.31578946
250,249,0.2631579
250,251,0.21052632
250,272,0.21052632
251,229,0.42105263
251,250,0.15789473
251,252,0.10526316
251,273,0.31578946
252,230,0.2631579
252,251,0.31578946
252,253,0.31578946
252,274,0.10526316
253,231,0.2631579
253,252,0.2631579
253,254,0.42105263
253,275,0.05263158
254,232,0.2631579
254,253,0.21052632
254,255,0.42105263
254,276,0.10526316
255,233,0.2631579
255,254,0.31578946
255,256,0.36842105
255,277,0.05263158
256,234,0.31578946
256,255,0.2631579
256,257,0.36842105
256,278,0.05263158
257,235,0.42105263
257,256,0.05263158
257,258,0.36842105
257,279,0.15789473
258,236,0.31578946
