patch_id,kendall_tau,p_value,row,col,lon,lat,local_morans_i,cluster_type
154,0.5525176577808157,3.959957355639459e-21,7,0,-65.57701574072506,-10.555204588404376,0.730983684234943,HH
155,0.0544543176122123,0.35249995152722,7,1,-64.67870045660554,-10.555204588404376,-0.03390265798794492,LH
156,-0.189336978810663,0.0012261208909418,7,2,-63.780385172486014,-10.555204588404376,0.06740644431769319,LL
157,-0.0578719526087947,0.3231018552166933,7,3,-62.882069888366495,-10.555204588404376,0.15851124870120914,LL
158,-0.3975848712690819,1.1342295093275687e-11,7,4,-61.983754604246975,-10.555204588404376,0.09423939114483328,LL
159,0.3037138300296195,2.153211682774212e-07,7,5,-61.08543932012745,-10.555204588404376,0.055539637966493804,HH
160,0.7106402369560266,7.022990154487552e-34,7,6,-60.18712403600793,-10.555204588404376,0.901238215834888,HH
161,0.1920710868079289,0.0010402250637243,7,7,-59.28880875188841,-10.555204588404376,0.031379218581615985,HH
162,-0.1790840738209159,0.0022306114252383,7,8,-58.39049346776888,-10.555204588404376,0.3367508793687287,LL
163,-0.0847573479152426,0.1478565891912701,7,9,-57.492178183649365,-10.555204588404376,0.34496394233345584,LL
164,-0.4413305992253361,4.8735011437712365e-14,7,10,-56.593862899529846,-10.555204588404376,0.754203965193449,LL
165,-0.3321941216678059,1.4124636630116351e-08,7,11,-55.69554761541032,-10.555204588404376,1.064195679767957,LL
166,-0.3137388926862611,8.472426103370829e-08,7,12,-54.7972323312908,-10.555204588404376,0.673680645299146,LL
167,-0.3258145363408521,2.6525779828069876e-08,7,13,-53.89891704717128,-10.555204588404376,0.46494423755811065,LL
168,-0.2267031214399635,0.0001085138161028,7,14,-53.00060176305176,-10.555204588404376,0.3311593961386955,LL
169,-0.0382775119617224,0.5134024651173663,7,15,-52.10228647893224,-10.555204588404376,0.09070589886902256,LL
170,0.5960355434039646,2.519865830461787e-24,7,16,-51.20397119481272,-10.555204588404376,-0.4574972011105422,HL
171,0.0430622009569378,0.4621918015597932,7,17,-50.30565591069319,-10.555204588404376,-0.02610128269494471,LH
172,-0.0950102529049897,0.1047601522550274,7,18,-49.40734062657367,-10.555204588404376,0.36104737152135313,LL
173,-0.5174299384825701,1.0047424763175628e-18,7,19,-48.50902534245415,-10.555204588404376,1.6773812341511998,LL
174,-0.6135794030530873,1.1107991975166038e-25,7,20,-47.61071005833463,-10.555204588404376,2.309848686388487,LL
175,-0.5668717247664616,3.7123331969730935e-22,7,21,-46.71239477421511,-10.555204588404376,2.308867550651231,LL
176,0.5894281157439053,7.979414457063325e-24,8,0,-65.57701574072506,-11.453519872523898,1.2302604834823228,HH
177,0.5340624287992709,7.61266803247474e-20,8,1,-64.67870045660554,-11.453519872523898,0.47384937499453955,HH
178,-0.0713146502620186,0.2233669382848816,8,2,-63.780385172486014,-11.453519872523898,-0.033601841808499004,LH
179,-0.1806789701526543,0.0020361616017515,8,3,-62.882069888366495,-11.453519872523898,0.15879491772011278,LL
180,-0.0610617452722715,0.2971492840314704,8,4,-61.983754604246975,-11.453519872523898,0.16357536995814292,LL
181,-0.1847801321485532,0.0016053684479651,8,5,-61.08543932012745,-11.453519872523898,-0.1251028017036301,LH
182,0.4420141262246526,4.4562458465340794e-14,8,6,-60.18712403600793,-11.453519872523898,0.055787755253218,HH
183,0.0945545682387787,0.1064360468269445,8,7,-59.28880875188841,-11.453519872523898,0.01742188691289882,HH
184,-0.4989747095010253,1.6027552210107202e-17,8,8,-58.39049346776888,-11.453519872523898,1.081421515394366,LL
185,-0.4736842105263159,6.081799590861955e-16,8,9,-57.492178183649365,-11.453519872523898,1.3384366532545213,LL
186,-0.2868534973798132,9.69517537117819e-07,8,10,-56.593862899529846,-11.453519872523898,1.0453780966262987,LL
187,-0.354522670312144,1.4207770703205791e-09,8,11,-55.69554761541032,-11.453519872523898,0.9948416523013663,LL
188,-0.3381180223285487,7.786531213442668e-09,8,12,-54.7972323312908,-11.453519872523898,0.7982503335322071,LL
189,-0.2508544087491456,1.8432427405875227e-05,8,13,-53.89891704717128,-11.453519872523898,0.6514432419334212,LL
190,-0.3536113009797221,1.564744736224327e-09,8,14,-53.00060176305176,-11.453519872523898,0.7017716081157647,LL
191,-0.1665527455001139,0.0044590799374867,8,15,-52.10228647893224,-11.453519872523898,0.26850727122271517,LL
192,0.2194121667805878,0.0001795079056301,8,16,-51.20397119481272,-11.453519872523898,0.10903200011697729,HH
193,0.3260423786739576,2.594058801690692e-08,8,17,-50.30565591069319,-11.453519872523898,-0.009124663441170855,HL
194,-0.3474595579858738,2.983337077127707e-09,8,18,-49.40734062657367,-11.453519872523898,0.6010354391184362,LL
195,-0.5741626794258373,1.090378447114759e-22,8,19,-48.50902534245415,-11.453519872523898,2.1901435515617425,LL
196,-0.547960811118706,8.291924964427142e-21,8,20,-47.61071005833463,-11.453519872523898,2.289630505194027,LL
197,-0.5402141717931193,2.8729431152990296e-20,8,21,-46.71239477421511,-11.453519872523898,2.1844681447048573,LL
